FRAME,OTIME,AREA5,AREA6,AREA7,AREA21,AREA25,AREA30,AREA35,MSKY,FLUX5,FLUX6,FLUX7,FLUX21,FLUX25,FLUX30,FLUX35
1,59811.38429,79.10087,113.2382,154.5491,1385.751,1962.568,2826.802,3848.325,1046.09,3156.242,3699.067,4030.893,7046.726,6586.034,8441.543,11637.35
2,59811.38826,78.80042,113.3023,154.2463,1385.764,1964.01,2827.88,3848.727,1041.172,3454.412,3729.473,4014.335,4939.07,4833.817,5677.154,6292.701
3,59811.39248,78.79637,113.3046,154.2983,1385.717,1963.407,2827.437,3848.607,1048.009,3169.028,3581.163,3872.16,3938.857,2887.059,2070.416,658.2463
4,59811.39644,78.84248,113.0702,154.4384,1386.036,1963.301,2827.069,3848.114,1047.096,3158.597,3299.511,3453.216,7186.523,5548.116,6068.536,7898.117
5,59811.40118,78.79991,113.4801,154.0967,1385.525,1963.987,2827.982,3848.978,1039.966,3771.122,3878.482,3845.96,5044.821,4441.305,6059.639,8692.555
6,59811.40538,78.75081,113.5333,153.9616,1385.58,1964.188,2828.18,3849.04,1045.242,3146.898,3264.989,3203.868,2520.662,1739.361,854.6984,1740.503
7,59811.40934,78.8516,113.2561,154.2528,1385.746,1963.917,2827.756,3848.644,1037.77,3996.508,4298.194,4642.21,5188.752,5466.102,5716.472,7694.075
8,59811.41331,78.86143,113.2592,154.458,1385.916,1963.244,2827.173,3848.332,1042.386,3706.427,3900.467,3984.941,2158.454,1356.01,434.2994,1337.261
9,59811.41727,78.83373,113.2375,154.4654,1385.858,1963.374,2827.229,3848.374,1057.003,3794.873,4042.316,4116.035,5003.106,3973.088,4850.039,4270.003
10,59811.42123,78.67781,113.5463,153.7771,1385.464,1964.417,2828.306,3849.338,1060.781,3512.819,3894.598,4181.982,5659.492,7343.126,8272.883,10117.3
11,59811.42519,78.83737,113.0757,154.4158,1386.086,1963.347,2827.036,3848.042,1076.825,3580.767,4074.813,4448.81,5614.772,6133.001,7028.653,8114.705
12,59811.42915,78.80814,113.3139,154.1685,1386.028,1963.696,2827.505,3848.448,1099.564,3642.714,3800.465,3753.502,3071.842,2763.283,927.8867,479.4124
13,59811.43311,78.83143,113.2085,154.4041,1385.834,1963.607,2827.509,3848.481,1121.312,3570.488,4016.234,4485.545,6899.354,8042.1,7197.414,6896.221
14,59811.43707,78.75424,113.4464,154.0594,1385.628,1964.27,2828.124,3848.947,1137.562,3667.03,3948.166,3975.312,7328.183,8582.304,8992.707,9971.852
15,59811.44103,78.77171,113.3939,154.1501,1385.732,1963.849,2827.699,3848.68,1166.658,3295.975,3691.54,4172.627,5698.635,6634.557,7184.467,7018.9
16,59811.44499,78.80335,113.2661,154.3391,1385.774,1963.408,2827.408,3848.575,1186.527,3791.375,4464.197,4748.447,8509.827,9322.072,11569.22,13952.18
17,59811.449,78.84417,113.2306,154.3262,1385.79,1963.789,2827.674,3848.579,1200.895,3280.305,3579.455,3945.491,5205.721,6508.689,10601.06,11898.37
18,59811.45297,78.82837,113.4351,154.2398,1385.543,1963.53,2827.718,3848.811,1206.674,3751.497,4065.52,4246.772,7130.539,7140.586,6974.061,7332.202
19,59811.45693,78.69276,113.5965,153.8359,1385.51,1964.368,2828.333,3849.171,1228.513,3723.739,4186.269,4506.025,8496.7,8783.328,11453.33,14436.45
20,59811.46089,78.73097,113.5283,153.9342,1385.58,1964.417,2828.311,3848.991,1244.698,3270.466,3770.789,4086.788,7639.913,8041.715,9895.856,11502.54
21,59811.46485,78.73057,113.5422,153.9159,1385.574,1964.393,2828.302,3849.027,1268.217,3621.189,3867.612,4004.475,5788.448,5983.678,7681.475,9116.469
22,59811.46882,78.78175,113.2436,154.3954,1385.812,1963.662,2827.581,3848.506,1283.492,3735.937,4072.595,4342.024,4254.342,2803.667,1615.934,308.9936
23,59811.47279,78.96666,113.2261,154.5386,1385.832,1962.943,2826.934,3848.359,1300.774,3774.333,4303.595,4680.282,9025.768,10682.53,14497.06,14980.53
24,59811.47675,78.73108,113.5378,153.9317,1385.595,1964.488,2828.33,3848.949,1339.192,4201.462,4347.24,4471.058,6790.653,6228.927,6496.694,4249.138
25,59811.48071,78.80698,113.4249,154.1486,1385.615,1963.919,2827.863,3848.847,1368.845,4118.947,4781.581,5224.125,9353.792,11809.08,12110.09,12443.06
26,59811.48467,78.86523,113.261,154.4609,1385.919,1963.216,2827.146,3848.32,1394.29,3460.171,3925.858,4198.01,10656.45,13723.94,15674.76,16906.6
27,59811.48864,78.81185,113.405,154.2239,1385.488,1963.619,2827.707,3848.888,1417.631,3090.581,3488.802,3787.639,6829.348,7685.825,8042.043,7296.666
28,59811.4926,78.82858,113.5154,154.1459,1385.478,1963.618,2827.782,3848.907,1457.526,3378.367,3754.019,4215.458,6236.341,7172.838,8367.8,9726.681
29,59811.49658,78.67075,113.6203,153.779,1385.425,1964.371,2828.368,3849.309,1493.126,3890.554,4365.298,4563.521,9166.94,11226.83,12991.86,14159.25
30,59811.50054,78.8168,113.2991,154.2265,1385.719,1964.053,2827.886,3848.738,1523.548,3532.535,3742.789,3742.858,7382.828,7678.38,8517.27,9759.482
31,59811.5045,78.83542,113.4851,154.1698,1385.531,1963.598,2827.702,3848.861,1554.99,3638.433,4141.198,4406.164,8048.811,8841.271,8285.844,9460.997
32,59811.50846,78.67857,113.5425,153.7784,1385.461,1964.411,2828.308,3849.344,1586.409,2881.463,3239.036,3640.074,8128.265,8263.077,9574.715,11252.92
33,59811.51242,78.8155,113.3233,154.2455,1385.66,1963.492,2827.539,3848.707,1600.823,3227.231,3442.134,3685.748,7919.166,9872.183,11249.85,15450.26
34,59811.51639,78.67879,113.5513,153.7776,1385.452,1964.394,2828.324,3849.349,1587.804,4139.421,4608.569,4987.598,10256.31,10860.29,13356.27,13166.64
35,59811.52035,78.79852,113.4035,154.2107,1385.49,1963.668,2827.701,3848.901,1600.308,3177.386,3387.762,3533.207,8484.448,9364.474,9743.178,11037.94
36,59811.52432,78.67219,113.626,153.8065,1385.447,1964.345,2828.358,3849.241,1589.599,4795.939,5005.568,4831.311,6612.062,7242.045,9430.437,10151.18
37,59811.52829,78.82912,113.1574,154.3877,1385.923,1963.309,2827.19,3848.384,1591.125,2790.824,3148.578,3439.249,3940.926,5462.926,5487.704,4453.979
38,59812.34105,78.80095,113.4685,154.1262,1385.502,1963.938,2827.934,3848.978,1023.516,3487.615,3442.949,3784.244,8592.143,8614.218,9357.467,10128.08
39,59812.34502,78.78589,113.4981,154.074,1385.516,1964.019,2828.025,3849.004,1005.666,3483.293,3651.548,3800.389,7961.083,8012.201,8168.576,7906.624
40,59812.34898,78.81417,113.5379,154.1145,1385.416,1963.722,2827.907,3849.035,995.2695,2911.018,3197.315,3210.046,8162.11,8222.371,8306.756,8121.664
41,59812.35294,78.81734,113.3721,154.2884,1385.631,1963.454,2827.534,3848.7,1000.975,3145.011,3150.948,2938.678,7986.396,7457.369,7958.515,6749.669
42,59812.3569,78.77334,113.3586,154.1664,1385.83,1963.77,2827.593,3848.63,998.079,3185.171,3307.359,3486.536,7926.631,7144.008,7830.922,9864.744
43,59812.36087,78.70763,113.612,153.8881,1385.413,1964.249,2828.305,3849.236,1000.424,3066.318,3308.816,3550.378,5432.389,5553.287,4227.127,4780.692
44,59812.36483,78.92138,113.2311,154.5237,1385.882,1963.021,2826.981,3848.32,991.4916,3399.948,3735.429,3979.425,9707.516,10259.65,10307.03,10527.14
45,59812.36879,78.81305,113.5474,154.1036,1385.426,1963.718,2827.894,3848.979,996.2469,2986.541,3099.17,3186.583,6652.742,6506.554,6911.387,8272.843
46,59812.3728,79.07039,113.2358,154.547,1385.76,1962.647,2826.856,3848.328,993.2051,3449.466,3551.653,3679.176,8003.041,8914.627,9275.016,11183.22
47,59812.37677,78.7095,113.5855,153.8598,1385.502,1964.343,2828.314,3849.152,985.4624,3177.374,3374.789,3772.299,8766.328,9317.028,10423.66,10479.94
48,59812.38073,78.82435,113.3245,154.2325,1385.698,1963.485,2827.536,3848.679,987.7515,3369.552,4185.924,4682.563,9234.164,9180.254,10341.33,8676.186
49,59812.38469,78.81057,113.4946,154.1031,1385.335,1963.854,2827.978,3849.108,996.3978,3670.447,4090.095,4233.27,9154.66,10050.46,9354.346,8718.839
50,59812.40664,78.81429,113.4308,154.1836,1385.404,1963.725,2827.809,3848.971,953.3304,3009.988,3200.624,3387.533,3600.974,5821.065,6813.757,8050.765
51,59812.41065,78.77043,113.4844,154.0087,1385.621,1964.131,2828.104,3848.973,963.4244,3491.451,3574.366,3669.883,4751.782,6839.971,9706.226,10307.01
52,59812.41461,78.70096,113.6394,153.8723,1385.376,1964.272,2828.302,3849.325,973.5845,3057.625,3132.835,3207.644,4176.425,4645.643,8073.257,8201.556
53,59812.41857,78.76814,113.4176,154.1097,1385.677,1964.247,2828.058,3848.86,979.342,3641.131,3846.903,4090.136,4721.607,4228.293,7469.039,7976.875
54,59812.42253,78.79443,113.3493,154.18,1385.78,1963.693,2827.571,3848.656,978.137,3254.348,3517.692,3717.151,4945.088,5513.456,9189.892,11422.99
55,59812.4265,78.7919,113.3862,154.1278,1385.725,1963.912,2827.785,3848.669,986.1608,3269.329,3528.839,3552.802,2874.708,3084.176,5149.184,5083.31
56,59812.43046,78.81504,113.354,154.3003,1385.664,1963.444,2827.474,3848.662,990.8397,2991.35,3137.446,3383.82,2247.798,1748.868,3357.61,4118.849
57,59812.43442,78.75045,113.6119,153.9657,1385.345,1964.081,2828.118,3849.327,1002.122,3288.11,3504.318,3508.069,4297.786,4296.966,4432.433,7333.211
58,59812.43838,78.67031,113.5523,153.8274,1385.557,1964.484,2828.315,3849.172,1014.501,3024.595,3017.292,3066.263,2465.393,1607.576,956.1856,2069.263
59,59812.44235,78.82908,113.3049,154.186,1385.703,1964.033,2827.883,3848.728,1032.182,3159.583,3463.594,3549.654,4874.79,4631.933,6386.954,7192.511
60,59812.44631,78.7849,113.38,154.1275,1385.755,1963.887,2827.737,3848.658,1045.124,3174.525,3335.477,3473.106,3226.08,3220.905,4702.265,6729.888
61,59812.46047,78.81369,113.4261,154.1437,1385.602,1963.941,2827.887,3848.877,1093.232,3066.284,3392.747,3672.312,2607.157,1990.199,1799.73,200.0956
62,59812.46443,78.76603,113.2887,154.3103,1385.82,1963.838,2827.758,3848.614,1093.35,3309.441,3564.791,3852.341,3154.415,2823.886,1971.475,2848.966
63,59812.4684,78.81623,113.3101,154.2963,1385.68,1963.389,2827.443,3848.745,1113.443,2973.981,3327.277,3636.736,3393.455,7480.631,7092.931,7138.081
64,59812.47237,78.8388,113.4957,154.1636,1385.493,1963.614,2827.794,3848.9,1114.966,3379.545,3638.423,3797.372,4914.175,4984.303,4845.419,3867.488
65,59812.47633,78.80476,113.2787,154.3204,1385.782,1963.34,2827.36,3848.627,1127.776,2989.68,3237.875,3308.08,3791.137,4075.004,3363.976,2045.179
66,59812.48029,78.68817,113.657,153.8597,1385.363,1964.29,2828.298,3849.394,1149.313,5966.704,6173.62,6607.958,9503.272,11177.5,11360.03,13130.49
67,59812.48425,78.81443,113.2797,154.3359,1385.767,1963.401,2827.312,3848.562,1162.827,2839.824,3365.351,3642.889,7875.068,9672.603,12063.5,13978.15
68,59812.48822,78.71806,113.5732,153.8733,1385.522,1964.345,2828.291,3849.107,1169.619,2557.937,2820.979,3020.885,3416.425,4040.229,4230.633,5199.085
69,59812.49219,78.80757,113.4589,154.1415,1385.482,1963.907,2827.899,3848.981,1196.66,2927.121,3237.098,3551.303,3597.673,3901.38,4496.609,4038.834
70,59812.49616,78.80675,113.2129,154.471,1385.824,1963.513,2827.375,3848.381,1214.76,2868.981,3287.469,3772.259,3670.629,3794.803,4109.382,4751.89
71,59812.50012,78.72144,113.6262,153.9088,1385.342,1964.203,2828.244,3849.339,1235.148,2382.738,2673.797,2785.629,2420.229,2086.937,1205.258,1314.425
72,59812.50408,78.81558,113.307,154.146,1385.901,1963.781,2827.627,3848.546,1274.656,2694.858,3116.484,3523.598,4608.694,5180.783,4764.762,5329.009
73,59812.50804,78.8056,113.3826,154.1003,1385.663,1964.047,2827.993,3848.769,1277.889,2925.844,3182.023,3498.605,3349.58,3249.399,1787.903,1159.885
74,59812.51201,78.85292,112.9978,154.506,1386.137,1963.307,2827.037,3847.987,1290.64,2990.058,3392.349,3666.871,6183.455,6421.458,7324.249,7496.791
75,59812.51598,78.7082,113.5792,153.858,1385.524,1964.37,2828.314,3849.132,1296.627,2979.058,3203.624,3456.99,4169.948,2843.163,3277.494,2873.105
76,59812.51994,78.83882,113.2369,154.3144,1385.969,1963.533,2827.489,3848.432,1309.283,3028.414,3415.369,3738.954,6592.337,8263.033,8708.479,10497.07
77,59812.52391,78.79933,113.3273,154.1243,1385.931,1963.794,2827.609,3848.563,1327.525,3240.545,3631.79,3985.842,4064.944,4765.282,5493.213,5192.846
78,59812.52787,78.86487,113.2092,154.3289,1385.85,1963.672,2827.547,3848.455,1334.866,3186.713,3514.264,3725.89,4314.165,5298.677,6232.719,4767.378
79,59812.53183,78.85726,113.2285,154.2942,1385.886,1963.668,2827.555,3848.45,1336.85,2898.01,3374.783,3707.467,5582.598,6100.357,7198.793,7996.247
80,59812.53581,78.79148,113.4765,154.0507,1385.608,1964.053,2828.048,3848.968,1367.872,3128.687,3764.859,4204.38,4606.757,4428.834,4047.003,3574.99
81,59812.53977,78.86629,113.2082,154.3226,1385.837,1963.704,2827.559,3848.455,1341.782,2746.66,2994.297,3353.358,4753.491,4678.836,4704.675,4885.836
82,59812.54373,78.85049,113.29,154.1768,1385.765,1963.86,2827.696,3848.596,1337.036,3481.579,3746.413,3940.718,4158.208,4156.19,4634.916,3088.119
83,59812.5477,78.72649,113.5689,153.9071,1385.505,1964.272,2828.247,3849.13,1327.443,2902.769,3147.052,3339.592,3314.839,2571.82,180.6243,457.994
84,59812.55167,78.81484,113.3368,154.1945,1385.736,1963.612,2827.543,3848.677,1345.806,3562.76,4036.266,4299.805,5457.706,7806.836,7556.097,7851.783
85,59813.35341,78.82907,113.1703,154.3602,1385.908,1963.367,2827.183,3848.341,1080.373,4877.422,5036.958,5305.704,4343.23,3016.45,921.5192,-3038.858
86,59813.35737,78.81071,113.4441,154.1637,1385.413,1963.798,2827.874,3849.015,1070.87,5048.314,5175.628,5261.758,4185.456,4031.991,3230.2,2363.636
87,59813.36133,78.72232,113.5831,153.879,1385.466,1964.301,2828.296,3849.171,1049.04,4672.56,4977.498,5144.633,4056.219,3902.92,4122.306,4179.615
88,59813.36529,78.68053,113.6597,153.8386,1385.351,1964.289,2828.292,3849.422,1045.962,4657.776,4953.106,5010.298,5533.578,5578.311,4956.896,5323.491
89,59813.36925,78.70519,113.5687,153.8785,1385.588,1964.477,2828.346,3849.06,1040.695,4401.696,5031.053,5414.494,5457.758,7516.309,8281.131,9514.729
90,59813.37322,78.67179,113.6438,153.8115,1385.397,1964.331,2828.356,3849.315,1036.676,4084.011,4477.169,4878.989,4250.241,5102.088,5987.464,6957.015
91,59813.37718,78.67205,113.6151,153.7711,1385.421,1964.374,2828.368,3849.328,1026.682,4096.813,4483.24,4888.659,5761.549,7307.794,11599.2,11261.26
92,59813.38114,78.75164,113.3819,154.1354,1385.893,1963.82,2827.595,3848.633,1033.807,3790.03,3828.459,3957.617,5762.857,6900.058,6900.088,8223.134
93,59813.3851,78.74665,113.6259,153.9569,1385.357,1964.103,2828.123,3849.365,1035.267,3888.695,4334.025,4760.7,5022.859,4440.154,3032.452,2930.856
94,59813.38907,78.78608,113.343,154.1151,1385.94,1963.791,2827.593,3848.58,1028.543,3678.78,3877.892,4036.148,3444.346,2549.081,1450.878,843.1723
95,59813.39303,78.78005,113.2439,154.4188,1385.844,1963.644,2827.511,3848.468,1010.11,3638.458,3833.205,3976.181,5149.021,5941.403,7079.384,7860.88
96,59813.40695,78.74286,113.5222,153.952,1385.579,1964.32,2828.258,3849.013,966.7506,3592.853,3804.337,3907.434,1837.687,1687.198,-1034.329,-2535.936
97,59813.41091,78.81712,113.2271,154.356,1385.825,1963.319,2827.301,3848.55,965.4944,3614.112,3834.811,3926.165,3112.841,3199.737,2138.51,1074.646
98,59813.41487,78.80591,113.3155,154.1741,1386.028,1963.686,2827.492,3848.446,966.4449,3544.828,3555.991,3552.422,2381.159,2938.497,4455.714,3755.778
99,59813.41883,78.76644,113.3859,154.1639,1385.743,1964.146,2827.993,3848.813,968.9509,3356.133,3377.23,3232.71,1478.645,820.532,710.6465,-196.7415
100,59813.4228,78.83935,113.3181,154.1494,1385.721,1963.923,2827.778,3848.652,965.37,3725.606,3859.645,4000.848,3582.477,3790.196,3584.031,4751.855
101,59813.42676,78.73272,113.6294,153.9272,1385.343,1964.172,2828.185,3849.379,962.3547,3467.584,3572.09,3683.555,1413.876,1141.965,1343.894,-673.3151
102,59813.43078,78.8593,113.2655,154.2195,1385.777,1963.817,2827.649,3848.549,962.901,3136.877,3398.177,3498.455,180.4195,-517.2147,-448.672,-182.27
103,59813.43475,78.80839,113.2611,154.3296,1385.801,1963.446,2827.336,3848.452,973.0267,3678.087,3927.397,4169.421,2050.958,1111.476,1470.012,2637.832
104,59813.43871,78.80955,113.4353,154.1731,1385.43,1963.773,2827.844,3848.994,981.6531,3619.053,3808.435,3987.478,3279.744,2420.267,1417.781,2294.476
105,59813.44267,78.95055,113.2383,154.5208,1385.867,1962.942,2826.943,3848.278,1001.577,3476.542,3702.688,3638.611,7242.97,6695.071,7589.034,9341.119
106,59813.44663,78.83958,113.0909,154.4243,1386.009,1963.295,2827.095,3848.176,1011.867,2667.245,2792.903,2761.62,-490.0006,-2108.314,-3203.845,-2531.038
107,59813.45622,78.8094,113.315,154.2691,1385.689,1963.406,2827.484,3848.672,1026.099,3200.178,3608.459,3803.837,1154.948,75.92473,168.3527,-725.0836
108,59813.46019,78.84343,113.2147,154.364,1385.963,1963.504,2827.451,3848.436,1028.179,3215.341,3395.35,3398.218,249.9738,-1191.943,-2283.906,-4633.42
109,59813.46415,78.82112,113.3659,154.0987,1385.712,1963.941,2827.816,3848.674,1025.152,3230.906,3548.591,3673.98,3015.623,3925.666,5193.376,6264.16
110,59813.46811,78.81762,113.3978,154.2744,1385.604,1963.476,2827.582,3848.739,1039.34,3118.2,3412.059,3510.165,666.9977,-248.5665,-1082.419,-1513.728
111,59813.47207,78.85659,113.2358,154.4468,1385.907,1963.367,2827.255,3848.372,1056.438,3253.006,3343.87,3501.057,3328.42,3362.422,3896.247,3429.489
